x-axis,1,2,3,4,D0-D7,D8-D15
second,Volt,Volt,Volt,Volt,,
-24.70000E-03,,,,,,
-24.67500E-03,+68.72350E-03,+3.33263595E+00,+0.0E+00,+5.75315E-03,0,0
-24.65000E-03,-157.21792E-03,+3.37447695E+00,-41.84100E-03,-77.92886E-03,0,0
-24.62500E-03,-44.24721E-03,+3.52092047E+00,-20.92050E-03,+110.35566E-03,0,0
-24.60000E-03,-176.04637E-03,+3.41631796E+00,+0.0E+00,+110.35566E-03,0,0
-24.57500E-03,-25.41876E-03,+3.20711294E+00,+0.0E+00,+47.59415E-03,0,0
-24.55000E-03,-25.41876E-03,+3.22803344E+00,-20.92050E-03,-203.45187E-03,0,0
-24.52500E-03,-44.24721E-03,+3.20711294E+00,+0.0E+00,-36.08785E-03,0,0
-24.50000E-03,-81.90411E-03,+3.31171545E+00,+0.0E+00,+47.59415E-03,0,0
-24.47500E-03,-213.70327E-03,+3.20711294E+00,-167.36402E-03,-57.00836E-03,0,0
-24.45000E-03,+106.38040E-03,+3.39539746E+00,-167.36402E-03,-36.08785E-03,0,0
-24.42500E-03,-25.41876E-03,+3.35355645E+00,-146.44351E-03,+89.43516E-03,0,0
-24.40000E-03,-63.07566E-03,+3.26987444E+00,-62.76151E-03,-57.00836E-03,0,0
-24.37500E-03,-6.59031E-03,+3.26987444E+00,-62.76151E-03,+5.75315E-03,0,0
-24.35000E-03,-25.41876E-03,+3.35355645E+00,-146.44351E-03,-57.00836E-03,0,0
-24.32500E-03,+87.55195E-03,+3.39539746E+00,-167.36402E-03,+235.87867E-03,0,0
-24.30000E-03,+125.20885E-03,+3.20711294E+00,+0.0E+00,+5.75315E-03,0,0
-24.27500E-03,-176.04637E-03,+3.31171545E+00,+0.0E+00,-57.00836E-03,0,0
-24.25000E-03,-25.41876E-03,+3.22803344E+00,+0.0E+00,+110.35566E-03,0,0
-24.22500E-03,-44.24721E-03,+3.35355645E+00,-20.92050E-03,-77.92886E-03,0,0
-24.20000E-03,+12.23814E-03,+3.26987444E+00,-104.60251E-03,-57.00836E-03,0,0
-24.17500E-03,-81.90411E-03,+3.47907946E+00,+167.36402E-03,-161.61087E-03,0,0
-24.15000E-03,-63.07566E-03,+3.35355645E+00,-167.36402E-03,+89.43516E-03,0,0
-24.12500E-03,-44.24721E-03,+3.22803344E+00,-188.28452E-03,-161.61087E-03,0,0
-24.10000E-03,-119.56102E-03,+3.20711294E+00,-62.76151E-03,+110.35566E-03,0,0
-24.07500E-03,-81.90411E-03,+3.37447695E+00,-104.60251E-03,+47.59415E-03,0,0
-24.05000E-03,-44.24721E-03,+3.37447695E+00,-20.92050E-03,+68.51466E-03,0,0
-24.02500E-03,-44.24721E-03,+3.37447695E+00,+313.80753E-03,-57.00836E-03,0,0
-24.00000E-03,-81.90411E-03,+3.26987444E+00,+0.0E+00,-57.00836E-03,0,0
-23.97500E-03,-25.41876E-03,+3.47907946E+00,-167.36402E-03,-57.00836E-03,0,0
-23.95000E-03,-44.24721E-03,+3.35355645E+00,-167.36402E-03,+89.43516E-03,0,0
-23.92500E-03,-176.04637E-03,+3.49999997E+00,+167.36402E-03,+214.95817E-03,0,0
-23.90000E-03,-25.41876E-03,+3.37447695E+00,-167.36402E-03,+5.75315E-03,0,0
-23.87500E-03,-25.41876E-03,+3.26987444E+00,+0.0E+00,-119.76986E-03,0,0
-23.85000E-03,-157.21792E-03,+3.33263595E+00,-20.92050E-03,-57.00836E-03,0,0
-23.82500E-03,-157.21792E-03,+3.35355645E+00,+0.0E+00,-57.00836E-03,0,0
-23.80000E-03,-81.90411E-03,+3.31171545E+00,-104.60251E-03,-57.00836E-03,0,0
-23.77500E-03,+125.20885E-03,+3.33263595E+00,+0.0E+00,+5.75315E-03,0,0
-23.75000E-03,-25.41876E-03,+3.37447695E+00,-167.36402E-03,-57.00836E-03,0,0
-23.72500E-03,-6.59031E-03,+3.20711294E+00,+20.92050E-03,-57.00836E-03,0,0
-23.70000E-03,-119.56102E-03,+3.26987444E+00,-62.76151E-03,+47.59415E-03,0,0
-23.67500E-03,-176.04637E-03,+3.31171545E+00,+0.0E+00,+47.59415E-03,0,0
-23.65000E-03,+106.38040E-03,+3.22803344E+00,-146.44351E-03,+89.43516E-03,0,0
-23.62500E-03,-44.24721E-03,+3.35355645E+00,+125.52301E-03,+89.43516E-03,0,0
-23.60000E-03,-63.07566E-03,+3.37447695E+00,-62.76151E-03,-57.00836E-03,0,0
-23.57500E-03,-176.04637E-03,+3.31171545E+00,+104.60251E-03,+5.75315E-03,0,0
-23.55000E-03,-25.41876E-03,+3.35355645E+00,-167.36402E-03,+110.35566E-03,0,0
-23.52500E-03,-157.21792E-03,+3.22803344E+00,-271.96653E-03,+68.51466E-03,0,0
-23.50000E-03,+31.06660E-03,+3.37447695E+00,-62.76151E-03,+68.51466E-03,0,0
-23.47500E-03,-213.70327E-03,+3.26987444E+00,-230.12552E-03,-57.00836E-03,0,0
-23.45000E-03,-44.24721E-03,+3.24895394E+00,-167.36402E-03,-57.00836E-03,0,0
-23.42500E-03,-44.24721E-03,+3.52092047E+00,-167.36402E-03,+89.43516E-03,0,0
